epoch,train_loss,train_recall,train_accuracy,test_loss,test_recall,test_accuracy
97,1.5653121,0.9988,0.999,1.6559316,0.705,0.868
98,1.5649443,0.9994,0.9988,1.6531742,0.767,0.8733
99,1.5567715,1.0,0.99862,1.6455594,0.841,0.8722
100,1.5662391,0.9988,0.99592,1.6535399,0.763,0.8633
101,1.5675136,0.9988,0.997,1.6570117,0.78,0.8641
102,1.5585825,1.0,0.99594,1.6472734,0.838,0.8613
103,1.5580972,0.9996,0.99842,1.6467983,0.797,0.8736
104,1.5518447,0.9876,0.99812,1.6404078,0.583,0.8651
105,1.5526397,1.0,0.9995,1.6407906,0.805,0.8741
106,1.547312,0.9992,0.99938,1.6352714,0.736,0.8741
107,1.5537703,1.0,0.99852,1.6432184,0.787,0.8695
108,1.5509752,0.9994,0.99936,1.6395918,0.727,0.8777
109,1.5502881,0.9996,0.99916,1.6390167,0.771,0.8703
110,1.5474391,1.0,0.99818,1.637017,0.81,0.8694
111,1.5662141,0.9978,0.99614,1.6533203,0.722,0.866
112,1.5553222,0.9986,0.99734,1.6438117,0.769,0.8703
113,1.5458201,0.9998,0.99954,1.635112,0.766,0.8773
114,1.5460644,0.9992,0.9995,1.6361971,0.708,0.8777
115,1.552932,0.9994,0.996,1.6427972,0.785,0.8648
116,1.5455964,0.9998,0.9993,1.6369616,0.736,0.8739
117,1.5415559,0.9998,0.99934,1.6318635,0.744,0.873
118,1.5486089,0.9996,0.99772,1.6376256,0.764,0.8757
119,1.5426037,0.9998,0.99926,1.6325405,0.775,0.8771
120,1.548284,0.9996,0.99938,1.6358719,0.763,0.8775
121,1.5442923,0.9998,0.99984,1.6319393,0.787,0.8813
122,1.5430317,1.0,0.9995,1.6318283,0.762,0.8772
123,1.5438582,1.0,0.99902,1.6325898,0.795,0.8725
124,1.5465616,0.9998,0.99962,1.6339751,0.749,0.8734
125,1.5435737,0.9988,0.99918,1.6343517,0.723,0.8729
126,1.5374235,0.9996,0.99964,1.6282984,0.74,0.8771
127,1.5481702,0.996,0.99848,1.6384118,0.68,0.8711
128,1.5420232,0.9998,0.99946,1.632425,0.734,0.8724
129,1.5360897,1.0,0.99958,1.6247699,0.774,0.8785
130,1.5426861,0.999,0.99932,1.6329077,0.736,0.8763
131,1.5420918,0.9996,0.9976,1.6313807,0.816,0.8701
132,1.546149,1.0,0.99822,1.6388392,0.824,0.8669
133,1.5361856,0.9998,0.99968,1.6273674,0.769,0.8769
134,1.5319601,1.0,0.9996,1.6220409,0.787,0.8797
135,1.5371481,1.0,0.99902,1.62888,0.806,0.8753
136,1.5361334,1.0,0.99892,1.6274294,0.788,0.8718
137,1.5335188,0.9998,0.99962,1.6232337,0.727,0.8788
138,1.5315335,0.9994,0.9993,1.6228733,0.781,0.8754
139,1.5388563,0.9998,0.99898,1.6291372,0.795,0.8729
140,1.5357642,0.9992,0.99966,1.6262307,0.699,0.8763
141,1.535093,0.9998,0.999,1.6279916,0.776,0.8703
142,1.5326711,0.9986,0.99886,1.6232097,0.717,0.8716
143,1.5270072,0.9996,0.9993,1.6164981,0.743,0.8774
144,1.5276009,0.9992,0.99932,1.6192132,0.748,0.8762
145,1.5388575,0.999,0.99608,1.6302191,0.75,0.8664
146,1.5393838,0.9998,0.99942,1.6302044,0.761,0.8741
147,1.5272079,1.0,0.99956,1.6177198,0.78,0.8799
148,1.5260122,0.9994,0.99958,1.6149334,0.746,0.8808
149,1.529936,0.9994,0.99944,1.619471,0.795,0.8795
150,1.5361615,1.0,0.99808,1.6303473,0.869,0.8657
151,1.5306364,0.9998,0.99954,1.6213142,0.722,0.8714
152,1.5291113,0.9996,0.99882,1.6199732,0.779,0.8742
153,1.5227008,0.999,0.99974,1.6149325,0.72,0.875
154,1.5250378,0.9998,0.9996,1.6164019,0.746,0.8736
155,1.5268463,0.9998,0.9997,1.6195191,0.768,0.8793
156,1.5348399,1.0,0.99578,1.6301042,0.856,0.8598
157,1.5316225,0.9998,0.99856,1.6217484,0.746,0.8689
158,1.5271521,0.9992,0.99868,1.621617,0.773,0.8652
159,1.5185219,1.0,0.99984,1.6110573,0.77,0.8789
160,1.5292546,0.9996,0.99964,1.6201924,0.723,0.8748
161,1.5272919,0.9996,0.99926,1.6171178,0.794,0.8754
162,1.5246216,1.0,0.99956,1.6194855,0.85,0.8719
163,1.5227923,1.0,0.99976,1.6165408,0.775,0.877
164,1.5239382,0.9998,0.99928,1.6178367,0.838,0.8733
165,1.5220788,0.9998,0.99952,1.6138211,0.786,0.8762
166,1.5230228,0.9996,0.99936,1.6161023,0.776,0.8741
167,1.5173559,1.0,0.99978,1.6097918,0.78,0.8766
168,1.5209668,1.0,0.99932,1.6141657,0.797,0.8747
169,1.5181845,0.9996,0.99984,1.6119418,0.763,0.879
170,1.5213957,0.9994,0.99926,1.6129793,0.717,0.8774
171,1.5235385,1.0,0.9989,1.6181647,0.778,0.8732
172,1.5185844,0.9998,0.9995,1.6115633,0.803,0.8781
173,1.5270573,1.0,0.99806,1.6192834,0.768,0.8724
174,1.519465,1.0,0.99966,1.6112367,0.794,0.8786
175,1.5161843,0.9994,0.99982,1.605744,0.744,0.8823
176,1.5238341,0.9998,0.99962,1.616427,0.801,0.8768
177,1.5227803,0.9986,0.9995,1.6152341,0.718,0.8731
178,1.5203087,0.9998,0.99952,1.6116365,0.774,0.8783
179,1.5205007,0.9998,0.99962,1.6125972,0.743,0.8782
180,1.5189878,1.0,0.99982,1.611664,0.799,0.8782
181,1.5158453,0.9998,0.99976,1.6078504,0.759,0.8795
182,1.5178337,0.9992,0.9997,1.6108493,0.705,0.8783
183,1.5208315,0.9988,0.99946,1.6111631,0.696,0.8791
184,1.5055254,0.9998,0.99978,1.597913,0.803,0.8799
185,1.5167599,1.0,0.9995,1.6079823,0.771,0.8753
186,1.5110608,0.9982,0.99964,1.602649,0.701,0.877
187,1.5209419,1.0,0.99498,1.6171132,0.848,0.8596
188,1.5064919,1.0,0.9999,1.5971984,0.776,0.8857
189,1.5116946,1.0,0.99938,1.6051742,0.845,0.8759
190,1.5096703,1.0,0.9998,1.6007985,0.764,0.8808
191,1.5090297,1.0,0.99988,1.600071,0.762,0.8837
192,1.5091105,0.9998,0.9998,1.6013812,0.779,0.8814
193,1.5145237,0.9988,0.99922,1.6072452,0.717,0.8767
194,1.5124978,1.0,0.99982,1.6061302,0.788,0.8813
195,1.5104425,1.0,0.99962,1.6027186,0.822,0.8773
196,1.5103304,1.0,0.99992,1.6012689,0.794,0.8822
197,1.5120825,0.9966,0.99956,1.6032047,0.695,0.8821
198,1.5114566,0.9996,0.99946,1.6050627,0.771,0.8742
199,1.5139886,1.0,0.99942,1.6068875,0.838,0.8768
200,1.5119891,0.9994,0.99974,1.604374,0.742,0.8784
201,1.5214618,0.9986,0.99864,1.6143596,0.719,0.8711
202,1.5138645,1.0,0.99964,1.6054988,0.753,0.878
203,1.5104953,1.0,0.9999,1.6032393,0.818,0.8774
204,1.5154028,1.0,0.99958,1.6077976,0.798,0.8749
205,1.5153947,1.0,0.99946,1.6064187,0.765,0.8799
206,1.5139172,1.0,0.99974,1.6062323,0.788,0.8797
207,1.514752,1.0,0.99626,1.6146357,0.85,0.8642
208,1.5078735,1.0,0.9998,1.6022012,0.723,0.8775
209,1.5185626,0.9982,0.99936,1.6156269,0.687,0.8689
210,1.5181744,0.9994,0.99936,1.6124567,0.754,0.8778
211,1.5121763,0.9996,0.99976,1.6045699,0.749,0.8805
212,1.507646,1.0,0.99938,1.60405,0.869,0.8728
213,1.507286,0.9992,0.99986,1.6022345,0.711,0.8772
214,1.5056794,1.0,0.99986,1.5997782,0.779,0.88
215,1.505995,1.0,0.99996,1.6008023,0.788,0.8776
216,1.5098867,0.9998,0.9998,1.6043973,0.788,0.8838
217,1.5056396,1.0,0.99996,1.5974325,0.79,0.882
218,1.5082959,0.9998,0.99944,1.6045024,0.801,0.8755
219,1.5085166,1.0,0.9996,1.6023082,0.751,0.8797
220,1.5106969,0.9994,0.99768,1.6070523,0.781,0.8643
221,1.5042745,1.0,0.99954,1.6011329,0.817,0.877
222,1.5027869,1.0,0.99982,1.5973222,0.736,0.8774
223,1.5070543,0.9998,0.99996,1.6008184,0.757,0.8812
224,1.5037057,1.0,0.99962,1.5995697,0.741,0.8781
225,1.5104433,1.0,0.99936,1.6065806,0.757,0.8715
226,1.5083119,1.0,0.99984,1.6010618,0.798,0.881
227,1.5132123,0.9988,0.99964,1.6079093,0.693,0.8748
228,1.5111988,1.0,0.99932,1.6060599,0.791,0.876
229,1.5019144,0.9998,0.99988,1.5941446,0.747,0.8842
230,1.5067017,1.0,0.99956,1.600385,0.828,0.8784
231,1.5035378,1.0,0.99968,1.5978961,0.71,0.8777
232,1.5097969,0.9992,0.99946,1.6051602,0.754,0.8722
233,1.5128325,0.9996,0.99924,1.6075703,0.685,0.8763
234,1.5024118,1.0,0.9996,1.5978374,0.804,0.8773
235,1.5012676,1.0,0.99968,1.5969998,0.837,0.876
236,1.4997743,1.0,0.99992,1.5936656,0.763,0.8831
237,1.5039083,1.0,0.99988,1.5963024,0.77,0.884
238,1.5014166,0.9996,0.99986,1.5980669,0.699,0.8747
239,1.5043795,0.9996,0.999,1.6009916,0.76,0.8697
240,1.4994844,1.0,0.99992,1.5948764,0.835,0.8808
241,1.5055819,0.9994,0.99914,1.6017379,0.733,0.8762
242,1.5011705,1.0,0.99988,1.5961896,0.74,0.8792
243,1.5000753,1.0,0.99988,1.5932063,0.773,0.8798
244,1.4996232,0.9994,0.99964,1.5952972,0.728,0.8777
245,1.5003088,1.0,0.99994,1.5949423,0.759,0.8821
246,1.502555,1.0,0.99976,1.5979147,0.728,0.8781
247,1.5087402,0.9964,0.99912,1.6049148,0.681,0.8695
248,1.5087885,0.9996,0.99954,1.6052504,0.775,0.8749
249,1.4989504,1.0,0.99986,1.5928321,0.715,0.8798
250,1.4998943,0.9998,0.9998,1.5939295,0.752,0.8796
251,1.5002228,1.0,0.9996,1.5946641,0.801,0.88
252,1.5081844,1.0,0.9997,1.6057996,0.74,0.8721
253,1.4985859,1.0,0.99978,1.5956249,0.778,0.8761
254,1.4976671,1.0,0.9997,1.5946488,0.766,0.8759
255,1.4996213,1.0,0.9998,1.5961376,0.804,0.8762
256,1.501519,0.9978,0.9995,1.5989561,0.663,0.8719
257,1.4958493,1.0,0.99992,1.5915009,0.785,0.8808
258,1.4957167,1.0,0.99994,1.58991,0.788,0.8845
259,1.4976535,0.9998,0.9998,1.591278,0.698,0.8811
260,1.4957116,1.0,0.99978,1.5924166,0.759,0.8746
261,1.494964,1.0,0.99994,1.591385,0.801,0.8807
262,1.4967275,0.9998,0.99988,1.5936049,0.722,0.879
263,1.4925685,0.9998,0.99988,1.5879345,0.757,0.8805
264,1.4935142,1.0,0.99998,1.5916505,0.735,0.8778
265,1.495195,0.9988,0.99976,1.5921277,0.697,0.8759
266,1.489986,1.0,0.99996,1.5871437,0.738,0.882
267,1.4961972,1.0,0.99984,1.5931253,0.776,0.8759
268,1.4952625,1.0,0.9999,1.5929481,0.793,0.8776
269,1.4924351,1.0,0.99994,1.5889214,0.776,0.8809
270,1.4975759,0.9966,0.99948,1.5938504,0.621,0.8755
271,1.4963541,0.9998,0.99992,1.5924928,0.755,0.8768
272,1.4946846,1.0,0.99982,1.5902929,0.803,0.8809
